product_code|gender|full_price|price|currency|country|item_url|brand|website|date|price_max
pwru5392|WOMEN|0|28.00|EUR|France|/uk/the-sticker-shop/ashe-place-leather-heart-sticker/invt/pwru5392|KATE SPADE|KATE SPADE|20170222|0
792161|WOMEN|0|68.00|GBP|United Kingdom|/uk/darling-point-two-piece-dessert-set/invt/792161|KATE SPADE|KATE SPADE|20170222|0
827041|WOMEN|0|31.00|GBP|United Kingdom|/uk/home-decor+accents/heres-looking-at-you-kid-pocket-frame/invt/827041|KATE SPADE|KATE SPADE|20170222|0
854758|WOMEN|0|68.00|GBP|United Kingdom|/uk/take-the-cake-two-piece-dessert-set/invt/854758|KATE SPADE|KATE SPADE|20170222|0
817605|WOMEN|0|78.00|GBP|United Kingdom|/uk/grace-avenue-8x10-frame/invt/817605|KATE SPADE|KATE SPADE|20170222|0
pwru4450-902|WOMEN|0|140.00|EUR|France|/uk/cross-body/cedar-street-cami/invt/pwru4450-902|KATE SPADE|KATE SPADE|20170222|0
pwru4447-635|WOMEN|45.00|24.00|EUR|France|/uk/cedar-street-hanging-tag/invt/pwru4447-635|KATE SPADE|KATE SPADE|20170222|45.00
pwru3905-001|WOMEN|0|98.00|EUR|France|/uk/cedar-street-stacy/invt/pwru3905-001|KATE SPADE|KATE SPADE|20170222|0
pwru4208-902|WOMEN|0|205.00|EUR|France|/uk/travel-accessories/cedar-street-maia-travel-wallet/invt/pwru4208-902|KATE SPADE|KATE SPADE|20170222|0
pxru7183-651|WOMEN|0|295.00|EUR|Germany|/uk/totes/cameron-street-large-lucie/invt/pxru7183-651|KATE SPADE|KATE SPADE|20170222|0
pxru7477|WOMEN|0|295.00|EUR|Germany|/uk/novelty/rambling-roses-rose-crossbody/invt/pxru7477|KATE SPADE|KATE SPADE|20170222|0
pxru7183-001|WOMEN|0|295.00|EUR|Germany|/uk/totes/cameron-street-large-lucie/invt/pxru7183-001|KATE SPADE|KATE SPADE|20170222|0
pxru6920-232|WOMEN|0|340.00|EUR|Germany|/uk/totes/cameron-street-havana/invt/pxru6920-232|KATE SPADE|KATE SPADE|20170222|0
njmu7492-276|WOMEN|0|505.00|GBP|United Kingdom|/uk/jackets-and-outerwear/tweed-corsage-coat/invt/njmu7492-276|KATE SPADE|KATE SPADE|20170222|0
njmu7411|WOMEN|0|168.00|GBP|United Kingdom|/uk/tops+sweaters/mrs-zip-up-sweatshirt/invt/njmu7411|KATE SPADE|KATE SPADE|20170222|0
s10160002|WOMEN|0|225.00|GBP|United Kingdom|/uk/heels/freya-sandals/invt/s10160002|KATE SPADE|KATE SPADE|20170222|0
